song,artist,album,released_date,genre,like,lyrics
Youngblood,5 Seconds of Summer,Youngblood (Deluxe),2018.06.15,록/메탈,"86,457","Remember the words
you told me
love me 'til the day I die
Surrender my everything
'cause you made me
believe you're mine
Yeah you used to call me baby
now you're calling me by name
Takes one to know one yeah
You beat me
at my own damn game
You're pushing
you're pushing
I'm pulling away
pulling away from you
I give and I give and I give
And you take
give and you take
Young blood
Say you want me
Say you want me
Out of your life
And I'm just a dead man
walking tonight
But you need it
yeah you need it
All of the time
Yeah ooh ooh ooh
Young blood
Say you want me
Say you want me
Back in your life
So I'm just a dead man
crawling tonight
'Cause I need it
yeah I need it
All of the time
Yeah ooh ooh ooh
Lately our conversations end
like it's the last goodbye
Yeah one of us gets too drunk
and calls about a hundred times
So who you been calling baby
nobody could take my place
When you looking at
those strangers
hope to god you see my face
Young blood
Say you want me
Say you want me
Out of your life
And I'm just a dead man
walking tonight
But you need it
yeah you need it
All of the time
Yeah ooh ooh ooh
Young blood
Say you want me
Say you want me
Back in your life
So I'm just a dead man
crawling tonight
'Cause I need it
yeah I need it
All of the time
Yeah ooh ooh ooh
You're pushing
you're pushing
I'm pulling away
pulling away from you
I give and I give and I give
And you take
give and you take
You're running around
and I'm running away
Running away from you
from you
Young blood
Say you want me
Say you want me
Out of your life
And I'm just a dead man
walking tonight
But you need it
yeah you need it
All of the time
Yeah ooh ooh ooh
Young blood
Say you want me
Say you want me
Back in your life
So I'm just a dead man
crawling tonight
'Cause I need it
yeah I need it
All of the time
Yeah ooh ooh ooh
You're pushing
you're pushing
I'm pulling away
pulling away from you
I give and I give and I give
And you take
give and you take
Young blood
Say you want me
Say you want me
Out of your life
And I'm just a dead man
walking tonight"
Teeth,5 Seconds of Summer,CALM,2020.03.27,POP,"16,857","Some days
you're the only thing I know
Only thing that's burning
when the nights grow cold
Can't look away
can't look away
Beg you to stay
beg you to stay yeah
Sometimes
you're a stranger in my bed
Don't know if you love me
or you want me dead
Push me away push me away
Then beg me to stay
beg me to stay yeah
Call me in the morning to apologize
Every little lie gives me butterflies
Something in the way
you're looking through my eyes
Don't know
if I'm gonna make it out alive
Fight so dirty
but your love so sweet
Talk so pretty
but your heart got teeth
Late night devil
put your hands on me
And never never
never ever let go
Fight so dirty
but your love so sweet
Talk so pretty
but your heart got teeth
Late night devil
put your hands on me
And never never
never ever let go
Some days
you're the best thing in my life
Sometimes when I look at you
I see my wife
Then you turn into somebody
I don't know
And you push me away
push me away yeah
Call me in the morning to apologize
Every little lie gives me butterflies
Something in the way
you're looking through my eyes
Don't know
if I'm gonna make it out alive
Fight so dirty
but your love so sweet
Talk so pretty
but your heart got teeth
Late night devil
put your hands on me
And never never
never ever let go
Fight so dirty
but your love so sweet
Talk so pretty
but your heart got teeth
Late night devil
put your hands on me
And never never
never ever let go
Blood on my shirt
rose in my hand
You're looking at me
like you don't know who I am
Blood on my shirt
heart in my hand
Still beating
Fight so dirty
but your love so sweet
Talk so pretty
but your heart got teeth
Late night devil
put your hands on me
And never never
never ever let go
Fight so dirty
but your love so sweet
Talk so pretty
but your heart got teeth
Late night devil
put your hands on me
And never never
never ever let go
Teeth
Teeth
Teeth
Never never never ever let go"
Who Do You Love,"The Chainsmokers, 5 Seconds of Summer",World War Joy,2019.12.06,일렉트로니카,"48,329","Found cigarettes
in your Fendi coat
Even though you don’t even smoke
Always changing your access codes
Yeah I can tell you no one knew
Yeah you’ve been acting
so conspicuous
You flip it on me say
I think too much
You’re moving different
when we’re making love
Baby tell me tell me
Who do you love do you love now
I wanna know the truth
Who do you love do you love now
I know it’s someone new
You ain’t gotta make it easy
Where you been sleeping
This shit is keeping me
up at night
Just admit it
Who do you love do you love now
I wanna know
I wanna know who
I wanna know
I wanna know who
You keep switching your alibi
Stuttering when you reply
You can’t even look me in the eye
Ooh I can tell I know
you’re lyin’
Cause you’ve been acting
so conspicuous
You flip it on me say
I think too much
You’re moving different
when we’re making love
Baby tell me tell me
Who do you love do you love now
I wanna know the truth
Who do you love do you love now
I know it’s someone new
You ain’t gotta make it easy
Where you been sleeping
This shit is keeping me
up at night
Just admit it
Who do you love do you love now
I wanna know
I wanna know who
I wanna know
I wanna know who
You’ve been acting so conspicuous
You flip it on me say
I think too much
Moving different
when we’re making love
Baby tell me tell me
Who do you love do you love now
I wanna know the truth
Who do you love do you love now
I know it’s someone new
You ain’t gotta make it easy
Where you been sleeping
This shit is keeping me
up at night
Just admit it
Who do you love do you love now
I wanna know
I wanna know who
You ain’t gotta make it easy
Where you been sleeping
This shit is keeping me
up at night
Just admit it
Who do you love do you love now
I wanna know
I wanna know who"
Teeth,5 Seconds of Summer,13 Reasons Why (Season 3),2019.08.23,"POP, 국외드라마","14,753","Some days
you're the only thing I know
Only thing that's burning
when the nights grow cold
Can't look away can't look away
Beg you to stay
beg you to stay yeah
Sometimes
you're a stranger in my bed
Don't know if you love me
or you want me dead
Push me away push me away
Then beg me to stay
beg me to stay yeah
Call me in the morning to apologize
Every little lie
gives me butterflies
Something in the way
you're looking through my eyes
Don't know
if I'm gonna make it out alive
Fight so dirty but your love so sweet
Talk so pretty
but your heart got teeth
Late night devil put your hands on me
And never never never ever let go
Fight so dirty but your love so sweet
Talk so pretty
but your heart got teeth
Late night devil put your hands on me
And never never
never ever let go
Some days
you're the best thing in my life
Sometimes when I look at you
I see my wife
Then you turn into somebody
I don't know
And you push me away
push me away yeah
Call me in the morning to apologize
Every little lie
gives me butterflies
Something in the way
you're looking through my eyes
Don't know
if I'm gonna make it out alive
Fight so dirty but your love so sweet
Talk so pretty
but your heart got teeth
Late night devil put your hands on me
And never never never ever let go
Fight so dirty but your love so sweet
Talk so pretty
but your heart got teeth
Late night devil
put your hands on me
And never never never ever let go
Blood on my shirt rose in my hand
You're looking at me
like you don't know who I am
Blood on my shirt heart in my hand
Still beating
Fight so dirty but your love so sweet
Talk so pretty
but your heart got teeth
Late night devil put your hands on me
And never never never ever let go
Fight so dirty but your love so sweet
Talk so pretty
but your heart got teeth
Late night devil put your hands on me
And never never never ever let go
Teeth
Teeth
Teeth
Never never never ever let go"
Ghost Of You,5 Seconds of Summer,Youngblood (Deluxe),2018.06.15,록/메탈,"12,521","Here I am waking up
still can't sleep on your side
There's your coffee cup
the lipstick stain fades with time
If I can dream long enough
you'd tell me I'd be just fine
I'll be just fine
So I drown it out
like I always do
Dancing through our house
with the ghost of you
And I chase it down
with a shot of truth
Dancing through our house
with the ghost of you
Cleaning up today
found that old Zeppelin shirt
You wore when you ran away
and no one could feel your hurt
We're too young too dumb
to know things like love
But I know better now
better now
So I drown it out
like I always do
Dancing through our house
with the ghost of you
And I chase it down
with a shot of truth
Dancing through our house
with the ghost of you
Too young too dumb
To know things like love
Too young too dumb
So I drown it out
like I always do
Dancing through our house
with the ghost of you
And I chase it down
with a shot of truth
That my feet don't dance
like they did with you"
She Looks So Perfect,5 Seconds of Summer,5 Seconds Of Summer,2014.01.01,록/메탈,"7,580","Hey-hey hey-hey hey-hey hey
Hey-hey hey-hey hey-hey hey
Simmer down simmer down
They say we’re too young
now to amount to anything else
But look around
We worked too damn
hard for this just to give it up now
If you don’t swim you’ll drown
But don’t move honey
You look so perfect standing there
In my American Apparel underwear
And I know now that I’m so down
Your lipstick stain is a work of art
I got your name tattooed
in an arrow heart
And I know now that I’m so down
Hey
Hey-hey hey-hey hey-hey hey
Let’s get out let’s get out
'Cause this deadbeat
town’s only here
just to keep us down
While I was out
I found myself alone just thinking
If I showed up with a plane ticket
And a shiny diamond ring
with your name on it
Would you wanna run away too
'Cause all I really want is you
You look so perfect standing there
In my American Apparel underwear
And I know now that I’m so down
I made a mixtape straight out of ‘94
I’ve got your ripped skinny
jeans lying on the floor
And I know now that I’m so down
Hey
Hey-hey hey-hey hey-hey hey
You look so perfect standing there
In my American Apparel underwear
And I know now that I'm so down
Your lipstick stain is a work of art
I got your name tattooed
in an arrow heart
And I know now that I’m so down
Hey
Hey-hey hey-hey hey-hey hey
You look so perfect standing there
In my American Apparel underwear
And I know now
that I’m so down
Hey
Your lipstick stain is a work of art
I got your name tattooed
in an arrow heart
And I know now that I’m so down
Hey"
Lie To Me,5 Seconds of Summer,Youngblood (Deluxe),2018.06.15,록/메탈,"9,722","I saw you looking brand new overnight
And I caught you looking too
but you didn't look twice
You look happy oh
You look happy oh
Flashing back to New York City
Changing flights
so you stay with me
Remember thinking
that I got this right
Now I wish we never met
'Cause you're too hard to forget
While I'm cleaning up your mess
I know he's taking off your dress
And I know that you don’t
but if I ask you if you love me
I hope you lie lie lie lie to me
It's 3 AM and the
moonlight’s testing me ah
If I make to dawn
then it won’t be hard to see ah
I ain’t happy oh
I ain't too happy oh
Flashing back to New York City
Changing flights
so you stay with me
Problem was
I thought I had this right
Now I wish we never met
'Cause your too hard to forget
While I’m cleaning up your mess
I know he’s taking off your dress
I know that you don’t
but if I ask you if you love me
I hope you lie lie lie lie lie to me
Singing lie lie lie lie lie
Li-li-lie lie lie lie lie
Lie lie lie lie lie
Li-li-lie lie lie lie lie
And I know that you don’t
but if I ask you if you love me
I hope you lie lie lie lie lie to me"
Easier,5 Seconds of Summer,CALM,2020.03.27,POP,"8,016","Is it easier to stay
Is it easier to go
I don't wanna know oh
But I know that I'm never
ever gonna change
And you know you
don't want it any other way
Why do we always gotta run away
And we wind up in the same place
It's like we're looking
for the same thing
Same thing yeah
Yeah do we really gotta do this now
Right here with all your friends around
In the morning we can work it out
Work it out
I love you so much that I hate you
Right now it's so hard to blame you
'Cause you're so damn beautiful
You're so damn beautiful
Is it easier to stay
Is it easier to go
I don't wanna know oh
But I know that I'm never
ever gonna change
And you know that
you're always gonna stay the same
Is it easier to stay Is it easier to go
I don't wanna know oh
But I know that I'm never
ever gonna change
And you know you
don't want it any other way
Every time that you
say you're gonna leave
That's when you
get the very best of me
You know we need it
like the air we breathe
Air we breathe yeah
I love you so much that I hate you Oh
Right now it's so hard to blame you Oh
'Cause you're so damn beautiful Oh
You're so damn beautiful Oh
Is it easier to stay
Is it easier to go
I don't wanna know oh
But I know that I'm never
ever gonna change
And you know that
you're always gonna stay the same
Is it easier to stay Is it easier to go
I don't wanna know oh
I don't wanna know
But I know that I'm never
ever gonna change
And you know you
don't want it any other way
The hardest part of all
Da-da-da-dum-da-da
Is that we're only built to fall
Is it easier
Is it easier to stay
Is it easier to go
I don't wanna know oh Oh
But I know that I'm never
ever gonna change
And you know that you're always
gonna stay the same
Is it easier
Is it easier to stay
Is it easier to go Yeah
I don't wanna know oh Oh
But I know that I'm never
ever gonna change
And you know you
don't want it any other way
I love you so much that I hate you
Hate you
Right now it's so hard to blame you
'Cause you're so damn beautiful"
Flatline,5 Seconds of Summer,5SOS5,2022.09.23,POP,"1,243","Verse 1: Luke
Should've seen me, like, a year ago, year ago
I was someone you don't even know, even know
Dark times kept me all alone, all alone
You were shinin' like a heart of gold, heart of gold

Pre-Chorus: Luke
Someone just like you
No one else
Lights will guide you, so
Run like hell

Chorus: Calum
Ooh, I'm falling for the first time
Heart is gonna flatline
Now I can't even look at you
You're like staring at the sunshine
Burnin' into my mind
'Cause I can't even look at you
I'd die all day
And every night just to miss you
Ooh, I'm falling for the first time
Heart is gonna flatline
Now I can't even look at you

Verse 2: Luke
People always say it's hard to change, hard to change
I've seen the signs and I know it's hard to fake, hard to fake
I say, I love you, I don't hesitate, hesitate
And now I wanna see you every day, every day, yeah

Pre-Chorus: Luke
Someone just like you
No one else
Lights will guide you, so
Run like hell

Chorus: Calum
Ooh, I'm falling for the first time
Heart is gonna flatline
Now I can't even look at you
You're like staring at the sunshine
Burnin' into my mind
'Cause I can't even look at you
I'd die all day
And every night just to miss you
Ooh, I'm falling for the first time
Heart is gonna flatline
Now I can't even look at you

Break: Luke
Now I can't even look at you

Pre-Chorus: Luke
Someone just like you
No one else
Lights will guide you, so
Run like hell

Chorus: Calum, Calum & Luke
Ooh, I'm falling for the first time
Heart is gonna flatline
Now I can't even look at you
You're like staring at the sunshine
Burnin' into my mind
'Cause I can't even look at you
I'd die I'd die, all day All day
And every night just to miss you
Ooh, I'm falling for the first time
Heart is gonna flatline
Now I can't even look at you

Outro: Luke
Now I can't even look at you"
Karma,AJR,Neotheater,2019.04.26,POP,"8,993","I've been so good,
I've been helpful and friendly
I've been so good,
why am I feeling empty
I've been so good,
I've been so good this year
I've been so good,
but it's still getting harder
I've been so good,
where the hell is the karma
I've been so good,
I've been so good this year
Why, are you asking me why
My days and nights are filled
with disappointment
Fine, oh no, everything's fine
I'm not sure why I booked
today's appointment
I've been so good,
I've been helpful and friendly
I've been so good,
why am I feeling empty
I've been so good,
I've been so good this year
I've been so good,
but it's still getting harder
I've been so good,
where the hell is the karma
I've been so good,
I've been so good this year
What, am I normal or not
Am I crazier than other patients
Right, I've done everything right
So where's the karma doc,
I've lost my patience
'Cause I've been so good,
I've been working my ass off
I've been so good, still,
I'm lonely and stressed out
I've been so good,
I've been so good this year
And I've been so good,
but it's still getting harder
I've been so good,
where the hell is the karma
I've been so good,
I've been so good this year
Ah-ah-ah-ah
Ah-ah-ah-ah
Ah-ah-ah-ah-ah
Ah-ah-ah-ah
Ah-ah-ah-ah
Ah-ah-ah-ah-ah
I've been so good this year
I've been so good this year
Time, I know we're out of time
But what if sad thoughts come
and I can't stop it
Bye, I don't wanna say bye
If only I could keep you
in my pocket
To give me some diagnosis
of why I'm so hollow
Please give me instructions,
I promise I'll follow
I tripped on my ankle
and fractured my elbow
But doesn't that mean
that the tour's gonna sell though
I try to explain the good faith
that's been wasted
But after an hour it sounds
like complaining
Wait don't go away,
can I lie here forever
You say that I'm better
Why don't I feel better
The universe works
in mysterious ways
But I'm starting to think
it ain't working for me
Doctor, should I be good
Should I be good this year"
